                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.39076,                0.58967,                0.53736,                 1.0111,                0.09374,                0.09524,                0.09545,                0.09453,                0.09374,                0.09524,                0.09545,                0.09105,                0.43408,                0.75022,                 6.4903,                 1.1839,             0.00021784,             0.00021784,             0.00021784
                     26,                0.38476,                0.59542,                0.54481,                0.99556,                0.09364,                0.09524,                 0.0985,                0.09519,                0.09364,                0.09524,                 0.0985,                0.09616,                0.44438,                0.81197,                 6.2984,                 1.1946,             0.00020992,             0.00020992,             0.00020992
                     27,                0.38051,                0.61209,                0.49822,                 1.0036,                0.14231,                0.09524,                0.11699,                0.10986,                0.14231,                0.09524,                0.11699,                0.11003,                 0.4194,                0.87273,                 6.4684,                 1.2007,               0.000202,               0.000202,               0.000202
                     28,                0.36563,                0.58137,                0.47092,                0.99404,                0.09121,                0.09965,                0.10781,                 0.1075,                0.09121,                0.09965,                0.10781,                0.10488,                0.40981,                0.85739,                 6.4207,                 1.1631,             0.00019408,             0.00019408,             0.00019408
                     29,                0.36433,                0.57559,                0.43672,                0.98851,                 0.0941,                0.09524,                0.09515,                0.09454,                 0.0941,                0.09524,                0.09515,                 0.0925,                0.43253,                0.77012,                 6.5695,                 1.1799,             0.00018616,             0.00018616,             0.00018616
                     30,                0.34952,                0.54367,                0.44762,                0.98285,                0.09465,                0.09524,                0.10092,                 0.1003,                0.09465,                0.09524,                0.10092,                 0.0974,                0.39633,                0.76965,                 6.4368,                 1.1673,             0.00017824,             0.00017824,             0.00017824
                     31,                0.36331,                0.56562,                0.44483,                0.97952,                0.18993,                0.09524,                0.09669,                0.09669,                0.18993,                0.09524,                0.09669,                0.09593,                0.43347,                0.82518,                 6.3666,                  1.187,             0.00017032,             0.00017032,             0.00017032
                     32,                0.36648,                0.55105,                0.42802,                0.98968,                0.09112,                 0.0997,                0.10223,                0.10076,                0.09112,                 0.0997,                0.10223,                0.09675,                0.45724,                0.89033,                  6.509,                 1.2125,              0.0001624,              0.0001624,              0.0001624
                     33,                0.34188,                0.56563,                0.39795,                0.97363,                0.14188,                0.09524,                0.09476,                0.09174,                0.14188,                0.09524,                0.09476,                 0.0901,                0.40302,                0.81513,                 6.7766,                 1.1178,             0.00015448,             0.00015448,             0.00015448
                     34,                0.35716,                0.56531,                0.39863,                0.98653,                0.23759,                0.09524,                0.09476,                0.09288,                0.23759,                0.09524,                0.09476,                 0.0901,                0.41342,                0.81191,                 6.5833,                 1.1473,             0.00014656,             0.00014656,             0.00014656
                     35,                0.35644,                0.58051,                0.40357,                0.99001,                0.14225,                0.09524,                0.10063,                0.10024,                0.14225,                0.09524,                0.10063,                0.09621,                0.41751,                0.83648,                 6.5059,                 1.1805,             0.00013864,             0.00013864,             0.00013864
                     36,                0.33838,                0.54094,                 0.3802,                0.97097,                   0.19,                0.09524,                 0.0961,                0.09603,                   0.19,                0.09524,                 0.0961,                0.09174,                0.44495,                0.81439,                 6.4808,                 1.1477,             0.00013072,             0.00013072,             0.00013072
                     37,                0.33847,                 0.5317,                0.36285,                0.98001,                0.14233,                0.09524,                0.09476,                0.09432,                0.14233,                0.09524,                0.09476,                0.09227,                0.45538,                0.77436,                 6.5533,                 1.1628,              0.0001228,              0.0001228,              0.0001228
                     38,                0.33617,                0.54854,                0.35985,                0.97415,                0.09432,                0.09524,                0.09837,                0.09808,                0.09432,                0.09524,                0.09837,                0.09418,                0.44074,                 0.7762,                 6.2611,                 1.1606,             0.00011488,             0.00011488,             0.00011488
                     39,                0.33248,                0.56311,                0.35347,                 0.9706,                0.09232,                0.09834,                0.10851,                0.10695,                0.09232,                0.09834,                0.10851,                0.10294,                0.43656,                0.85902,                 6.5126,                  1.175,             0.00010696,             0.00010696,             0.00010696
                     40,                0.34786,                 0.5586,                0.38394,                0.97571,                 0.0944,                0.09524,                0.09476,                0.09423,                 0.0944,                0.09524,                0.09476,                0.09002,                0.44051,                0.79292,                 6.5688,                 1.1799,              9.904e-05,              9.904e-05,              9.904e-05
                     41,                 0.1599,                0.31822,                 0.1816,                0.92869,                0.14232,                0.09524,                0.09476,                0.09476,                0.14232,                0.09524,                0.09476,                0.09046,                0.47289,                 0.8558,                  6.586,                 1.1742,              9.112e-05,              9.112e-05,              9.112e-05
                     42,                0.16503,                0.32904,                0.17116,                0.93971,                0.14185,                0.09524,                0.09476,                0.09396,                0.14185,                0.09524,                0.09476,                0.09089,                0.45831,                0.84284,                  6.862,                 1.1589,               8.32e-05,               8.32e-05,               8.32e-05
                     43,                0.15851,                0.30395,                0.15315,                0.93031,                0.09414,                0.09524,                0.09476,                0.09476,                0.09414,                0.09524,                0.09476,                0.09061,                0.53685,                 0.9313,                 6.7729,                 1.2061,              7.528e-05,              7.528e-05,              7.528e-05
                     44,                0.16161,                0.31794,                0.15145,                 0.9347,                0.14132,                0.09524,                0.09476,                0.09476,                0.14132,                0.09524,                0.09476,                0.09008,                0.46869,                 0.8973,                 6.4925,                 1.1509,              6.736e-05,              6.736e-05,              6.736e-05
                     45,                0.15153,                0.31528,                0.14006,                  0.927,                0.09439,                0.09524,                0.09476,                0.09476,                0.09439,                0.09524,                0.09476,                0.09013,                  0.466,                0.89898,                 6.8992,                 1.1813,              5.944e-05,              5.944e-05,              5.944e-05
                     46,                0.14551,                0.30218,                0.13982,                 0.9099,                0.09443,                0.09524,                0.09476,                0.09476,                0.09443,                0.09524,                0.09476,                0.09012,                0.45992,                0.90581,                 6.9129,                 1.1569,              5.152e-05,              5.152e-05,              5.152e-05
                     47,                0.13833,                0.31623,                0.13188,                0.92462,                0.09414,                0.09524,                0.09476,                0.09476,                0.09414,                0.09524,                0.09476,                0.09011,                0.44127,                 0.9054,                 6.8443,                  1.148,               4.36e-05,               4.36e-05,               4.36e-05
                     48,                0.14019,                0.30524,                0.12789,                0.92112,                0.09427,                0.09524,                0.09476,                0.09476,                0.09427,                0.09524,                0.09476,                0.09009,                0.44195,                0.92128,                 6.9306,                 1.1334,              3.568e-05,              3.568e-05,              3.568e-05
                     49,                0.13459,                 0.2977,                0.12314,                0.91227,                0.09446,                0.09524,                0.09476,                0.09476,                0.09446,                0.09524,                0.09476,                0.09008,                0.46985,                0.90367,                 7.0849,                 1.1508,              2.776e-05,              2.776e-05,              2.776e-05
                     50,                0.13501,                0.31395,                0.12891,                0.91793,                0.09453,                0.09524,                0.09476,                0.09476,                0.09453,                0.09524,                0.09476,                0.09008,                0.44818,                0.89382,                 7.0935,                 1.1323,              1.984e-05,              1.984e-05,              1.984e-05
